% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               Apr 16 2026, 13:58
% Dimension:          1
% Nodes:              2251
% Expressions:        3
% Description:        Line graph
% R                       Height                   Height                   Height
0                         1.129270286875096E-8     5.62355040443562E-9      3.737293769993835E-9
3.33333333333334E-5       1.1230222627269005E-8    5.616543064138703E-9     3.735304263367544E-9
6.66666666666668E-5       1.1084756476714143E-8    5.598187159976943E-9     3.729864363196407E-9
1.0000000000000021E-4     1.0856162631812801E-8    5.5684769583744514E-9    3.7209732362108504E-9
1.3333333333333364E-4     1.0532570994281361E-8    5.5259934373151106E-9    3.7083082406699377E-9
1.66666666666667E-4       1.015208360900754E-8     5.473093845468056E-9     3.6923182864165754E-9
2.0000000000000042E-4     9.714503214211E-9        5.409771150133458E-9     3.673002384284942E-9
2.3333333333333385E-4     9.227276189341297E-9     5.3350112905943E-9       3.6500435914705964E-9
2.666666666666672E-4      8.72288067281209E-9      5.251866316488243E-9     3.6240760151819225E-9
3.000000000000006E-4      8.201017079782474E-9     5.160324475477633E-9     3.5950979397485553E-9
3.33333333333334E-4       7.67788989492446E-9      5.059702265243806E-9     3.5627868508561523E-9
3.6666666666666743E-4     7.168894269715086E-9     4.953038502724885E-9     3.5278315606235624E-9
4.0000000000000083E-4     6.673659882421836E-9     4.8403158668648714E-9    3.4902294603218737E-9
4.3333333333333424E-4     6.208972003010252E-9     4.721573438854271E-9     3.4497729208334754E-9
4.666666666666676E-4      5.773708782441879E-9     4.599313132332662E-9     3.4071108449310944E-9
5.000000000000011E-4      5.367538417358475E-9     4.473512479559324E-9     3.362239752748169E-9
5.333333333333344E-4      5.0016146462111855E-9    4.344814935606266E-9     3.3150739115249853E-9
5.666666666666678E-4      4.666523733767194E-9     4.215006727248219E-9     3.2661847460866543E-9
6.000000000000011E-4      4.362050481995268E-9     4.084061667245295E-9     3.2155681349720255E-9
6.333333333333346E-4      4.093246127115905E-9     3.953110080085546E-9     3.163266324155133E-9
6.666666666666679E-4      3.848890390513275E-9     3.823091260012878E-9     3.1097605999019634E-9
7.000000000000014E-4      3.628881720086872E-9     3.693978532170603E-9     3.0550464750066334E-9
7.333333333333348E-4      3.4349573104520245E-9    3.5670679380079155E-9    2.9992325915694792E-9
7.666666666666681E-4      3.25834979677279E-9      3.442639260892134E-9     2.94272230076048E-9
8.000000000000016E-4      3.0990231757795384E-9    3.32066628095068E-9      2.8855106422337957E-9
8.33333333333335E-4       2.956918679574344E-9     3.2024118966183546E-9    2.827765661528613E-9
8.666666666666684E-4      2.826500650210647E-9     3.087636384049825E-9     2.769796000475779E-9
9.000000000000017E-4      2.7077579391444054E-9    2.9763155644366022E-9    2.711596313151454E-9
9.333333333333352E-4      2.600063337347667E-9     2.869556184965724E-9     2.6533807350684565E-9
9.666666666666684E-4      2.500279146158347E-9     2.766758810949735E-9     2.5953571281833313E-9
0.0010000000000000018     2.408401746146061E-9     2.6679026820018877E-9    2.5375199027320983E-9
0.0010333333333333353     2.3238043948860273E-9    2.57389128338199E-9      2.4801182660903795E-9
0.0010666666666666687     2.244723580898184E-9     2.483893680484068E-9     2.423256114258623E-9
0.001100000000000002      2.1711579016657183E-9    2.397893575152404E-9     2.366927864977522E-9
0.0011333333333333354     2.1026476780930447E-9    2.3165736811209053E-9    2.3113945997153118E-9
0.0011666666666666687     2.038152245062629E-9     2.2390397651187205E-9    2.256673907901999E-9
0.001200000000000002      1.9776709761774645E-9    2.1652800891314566E-9    2.2027603750419257E-9
0.0012333333333333354     1.920873376806188E-9     2.095763695154328E-9     2.1499116887014827E-9
0.0012666666666666685     1.8671077085706676E-9    2.0296435200350514E-9    2.098075709550002E-9
0.001300000000000002      1.8163736558680885E-9    1.966911712942822E-9     2.0472473204572617E-9
0.0013333333333333352     1.7684286131151482E-9    1.9078551313785086E-9    1.9976691847052795E-9
0.0013666666666666686     1.722836731118168E-9     1.8517258306329357E-9    1.9492308414555876E-9
0.001400000000000002      1.6795978294282403E-9    1.7985188992652163E-9    1.9019276393549626E-9
0.0014333333333333353     1.6385357208993165E-9    1.7483862827882097E-9    1.8559759653371904E-9
0.0014666666666666684     1.5993417204117645E-9    1.7007136546789235E-9    1.8112290549873538E-9
0.0015000000000000018     1.5620157189767473E-9    1.6554981238758828E-9    1.7676828267981789E-9
0.0015333333333333351     1.5264253691675301E-9    1.6127975142409984E-9    1.725522208284897E-9
0.0015666666666666682     1.4923463600182811E-9    1.572129957500633E-9     1.6845791971322992E-9
0.0016000000000000016     1.4597786218863899E-9    1.533493814521372E-9     1.6448503206322352E-9
0.001633333333333335      1.4286192924349117E-9    1.4968894912998796E-9    1.6064901020888733E-9
0.0016666666666666683     1.398700200513569E-9     1.4619466633391537E-9    1.569315403283519E-9
0.0017000000000000014     1.3700212976584816E-9    1.4286644114023204E-9    1.533323383565351E-9
0.001733333333333335      1.3425038847598164E-9    1.3970161017716157E-9    1.4986386920223173E-9
0.0017666666666666681     1.316017592524577E-9     1.3667247899836146E-9    1.465079078816936E-9
0.0018000000000000015     1.290562387025286E-9     1.337789966771458E-9     1.4326423089980761E-9
0.0018333333333333348     1.2660760545548138E-9    1.3101710517537767E-9    1.4014232104179487E-9
0.001866666666666668      1.2424575563778974E-9    1.2836653579659347E-9    1.3712499275652006E-9
0.0019000000000000013     1.219706868260214E-9     1.2582725988830982E-9    1.342120753704757E-9
0.0019333333333333346     1.1977728778155908E-9    1.2339471458932002E-9    1.3141039054128053E-9
0.001966666666666668      1.1765758613192303E-9    1.2105403304138834E-9    1.2870401476869796E-9
0.0020000000000000013     1.1561158004172132E-9    1.1880519835348093E-9    1.2609282155150483E-9
0.0020333333333333345     1.1363517830077513E-9    1.16643998613039E-9      1.2358152723189812E-9
0.0020666666666666676     1.1172189878582253E-9    1.1455936484089596E-9    1.2115594019523188E-9
0.002100000000000001      1.0987174010616157E-9    1.125512867576788E-9     1.1881596960817123E-9
0.0021333333333333347     1.0808137726377863E-9    1.1061604663351344E-9    1.1656457101764057E-9
0.002166666666666668      1.0634553504674209E-9    1.0874532733027782E-9    1.1438941298937934E-9
0.002200000000000001      1.0466421237676953E-9    1.0693912228811255E-9    1.1229043163502865E-9
0.0022333333333333346     1.0303467222037966E-9    1.0519425418978509E-9    1.1026927609758303E-9
0.0022666666666666677     1.014525357666604E-9     1.035043002301488E-9     1.0831529175120933E-9
0.0023000000000000013     9.991780214186697E-10    1.0186925595790295E-9    1.0642843429223907E-9
0.0023333333333333344     9.842825191604043E-10    1.0028653312607374E-9    1.0460951730860638E-9
0.002366666666666668      9.69801820472537E-10     9.8751023320011E-10      1.028494834459099E-9
0.002400000000000001      9.557359182770796E-10    9.726272342168301E-10    1.0114830252154498E-9
0.0024333333333333347     9.420662636724686E-10    9.581946904647212E-10    9.950610160335683E-10
0.002466666666666668      9.287618684864396E-10    9.441718471524115E-10    9.791536588681399E-10
0.002500000000000001      9.158227269412116E-10    9.305586817411938E-10    9.63760749604125E-10
0.002533333333333334      9.032330012299458E-10    9.173368321176904E-10    9.488788773576442E-10
0.002566666666666667      8.909665604968011E-10    9.044732171036468E-10    9.344460056028E-10
0.0026000000000000007     8.790233998970863E-10    8.919678197510422E-10    9.204619958447695E-10
0.0026333333333333343     8.673901042568599E-10    8.798052741296134E-10    9.069208784819604E-10
0.0026666666666666674     8.560441743537356E-10    8.679579540273895E-10    8.937716594140336E-10
0.002700000000000001      8.449856061350631E-10    8.564258464924735E-10    8.8101424459829E-10
0.002733333333333334      8.342030515169109E-10    8.451960899265101E-10    8.686411212735147E-10
0.0027666666666666673     8.236773106298837E-10    8.342456597086399E-10    8.566110774056817E-10
0.0028000000000000004     8.134083800892739E-10    8.2357454580814E-10      8.449240486293853E-10
0.002833333333333334      8.033861845562803E-10    8.131714187770979E-10    8.33571280192405E-10
0.002866666666666667      7.935944633251255E-10    8.030171553461513E-10    8.225197243310916E-10
0.0029000000000000002     7.840332134781979E-10    7.931117474853419E-10    8.117693359798184E-10
0.002933333333333334      7.746934746428419E-10    7.834452075804131E-10    8.013110851505514E-10
0.002966666666666667      7.655612573511809E-10    7.740013459402032E-10    7.911182403412968E-10
0.003                     7.566365590928905E-10    7.647801560816295E-10    7.811907695619481E-10
0.0030333333333333336     7.479115248897269E-10    7.557729516311532E-10    7.715200180199296E-10
0.0030666666666666668     7.393740872797598E-10    7.469659472390297E-10    7.620842495795061E-10
0.0031                    7.310242440731486E-10    7.383591375788251E-10    7.528834410090483E-10
0.0031333333333333335     7.228550940759653E-10    7.299449467614137E-10    7.439095901467846E-10
0.003166666666666667      7.14856028346015E-10     7.217113921656366E-10    7.351446680339552E-10
0.0032                    7.070270449155405E-10    7.13658469289376E-10     7.265886572612197E-10
0.0032333333333333337     6.993622363149478E-10    7.057797479067884E-10    7.1823459020133E-10
0.0032666666666666664     6.918520971743005E-10    6.980645944058652E-10    7.100672148156201E-10
0.0033                    6.844966257555712E-10    6.905130050025334E-10    7.020865179066836E-10
0.0033333333333333335     6.772906549641908E-10    6.831193897772101E-10    6.942863015337489E-10
0.0033666666666666667     6.70225783402711E-10     6.758744245554577E-10    6.8665372592345E-10
0.0034                    6.633020095295215E-10    6.687781061301253E-10    6.791887808766341E-10
0.0034333333333333334     6.565148068282918E-10    6.61825563632184E-10     6.718859947525602E-10
0.0034666666666666665     6.49856663301603E-10     6.55008521930264E-10     6.647343997645469E-10
0.0034999999999999996     6.433275775778062E-10    6.483269782853973E-10    6.577339878780793E-10
