% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 5 2026, 11:39
% Dimension:          1
% Nodes:              2251
% Expressions:        4
% Description:        Line graph
% R                       Height                   Height                   Height                   Height
0                         1.097497958405907E-9     5.31979387373965E-10     2.4961178665663155E-10   8.230706091543137E-11
3.33333333333334E-5       1.0974476949621752E-9    5.319732041296716E-10    2.496110222941143E-10    8.230701469157161E-11
6.66666666666668E-5       1.0973011951328783E-9    5.319549224708226E-10    2.4960874594342686E-10   8.230687643824853E-11
1.0000000000000021E-4     1.0970584565716934E-9    5.319245423216371E-10    2.4960495760216575E-10   8.230664615543944E-11
1.3333333333333364E-4     1.0967164387452493E-9    5.318818686674037E-10    2.4959964494483674E-10   8.230632353385419E-11
1.66666666666667E-4       1.096278462513445E-9     5.318271034978061E-10    2.495928203986345E-10    8.230590887987834E-11
2.0000000000000042E-4     1.0957445252303845E-9    5.317602467305997E-10    2.495844839610629E-10    8.230540219348183E-11
2.3333333333333385E-4     1.0951108006335182E-9    5.316810441477717E-10    2.495746193109648E-10    8.230480306292821E-11
2.666666666666672E-4      1.0943824095204128E-9    5.315898116055106E-10    2.4956324600390237E-10   8.230411197108568E-11
3.000000000000006E-4      1.093559347039803E-9     5.314865489506654E-10    2.4955036403517044E-10   8.230332891789938E-11
3.33333333333334E-4       1.0926368610820262E-9    5.313709340522171E-10    2.49535952558563E-10     8.230245337517842E-11
3.6666666666666743E-4     1.091620719515215E-9     5.312433207631226E-10    2.4952003338265964E-10   8.230148588009666E-11
4.0000000000000083E-4     1.090510914657591E-9     5.311037088380397E-10    2.4950260649984693E-10   8.23004264325689E-11
4.3333333333333424E-4     1.0893030003764324E-9    5.309517878899976E-10    2.494836516001402E-10    8.229927451481714E-11
4.666666666666676E-4      1.0880027507922633E-9    5.307879103925573E-10    2.494631902966897E-10    8.229803065714202E-11
5.000000000000011E-4      1.0866101555259125E-9    5.306120760139904E-10    2.4944122257919017E-10   8.229669485942987E-11
5.333333333333344E-4      1.0851211752566709E-9    5.304239916132077E-10    2.4941772899774555E-10   8.229526662306224E-11
5.666666666666678E-4      1.083541365096379E-9     5.302239942050226E-10    2.493927300787205E-10    8.22937464485312E-11
6.000000000000011E-4      1.0818707130398817E-9    5.300120834086518E-10    2.49366225810354E-10     8.22921343357048E-11
6.333333333333346E-4      1.0801055764857642E-9    5.297879793562749E-10    2.4933819725418826E-10   8.22904297945335E-11
6.666666666666679E-4      1.0782517791822056E-9    5.295520405795381E-10    2.493086663223805E-10    8.228863335992543E-11
7.000000000000014E-4      1.0763093074311127E-9    5.293042666403654E-10    2.49277633001354E-10     8.228674503172692E-11
7.333333333333348E-4      1.0742742866474084E-9    5.290443497948997E-10    2.492450762689578E-10    8.228476426335281E-11
7.666666666666681E-4      1.0721529457705932E-9    5.287726781705027E-10    2.492110198859674E-10    8.228269163513243E-11
8.000000000000016E-4      1.0699452686690712E-9    5.284892512474597E-10    2.4917546383621605E-10   8.228052714688427E-11
8.33333333333335E-4       1.0676474631894568E-9    5.281937547639124E-10    2.491383863895318E-10    8.227827023068053E-11
8.666666666666684E-4      1.0652659088371383E-9    5.278865904236822E-10    2.4909981214167186E-10   8.227592148620826E-11
9.000000000000017E-4      1.0628005871416278E-9    5.275677576295008E-10    2.4905974107403167E-10   8.227348091325948E-11
9.333333333333352E-4      1.0602479543168808E-9    5.272369473349976E-10    2.4901815152309114E-10   8.227094794280445E-11
9.666666666666684E-4      1.0576143361159945E-9    5.268945609057478E-10    2.4897506800019147E-10   8.226832317014233E-11
0.0010000000000000018     1.0548997120627722E-9    5.265405976797896E-10    2.4893049048473663E-10   8.226560659504233E-11
0.0010333333333333353     1.052100896170003E-9     5.261747599568394E-10    2.488843977249559E-10    8.226279765518172E-11
0.0010666666666666687     1.0492241937056642E-9    5.257974547152711E-10    2.4883681461831304E-10   8.225989695456934E-11
0.001100000000000002      1.0462695823941228E-9    5.254086812315767E-10    2.487877411422632E-10    8.225690449295175E-11
0.0011333333333333354     1.0432340836625023E-9    5.250081427104157E-10    2.4873715578358277E-10   8.225381969769662E-11
0.0011666666666666687     1.0401239867667682E-9    5.24596252592929E-10     2.4868508387437476E-10   8.225064318258704E-11
0.001200000000000002      1.0369392672730335E-9    5.241730100801948E-10    2.486315253896891E-10    8.224737494734333E-11
0.0012333333333333354     1.0336772266351986E-9    5.237381246147698E-10    2.485764588983979E-10    8.224401441786568E-11
0.0012666666666666685     1.0303440431788373E-9    5.232920095698668E-10    2.485199097375623E-10    8.224056220646483E-11
0.001300000000000002      1.0269396904301774E-9    5.228346640778145E-10    2.4846187788009495E-10   8.223701831283711E-11
0.0013333333333333352     1.0234618371113505E-9    5.22365809666615E-10     2.484023423212039E-10    8.223338216961474E-11
0.0013666666666666686     1.0199165105179469E-9    5.218858594348262E-10    2.4834132845436006E-10   8.222965438970618E-11
0.001400000000000002      1.016303682355378E-9     5.213948124504786E-10    2.4827883625043567E-10   8.222583497278452E-11
0.0014333333333333353     1.0126213248229974E-9    5.208923988334274E-10    2.482148449236149E-10    8.22219233532705E-11
0.0014666666666666684     1.0088753021411104E-9    5.20379030329856E-10     2.481493798393082E-10    8.221792014223949E-11
0.0015000000000000018     1.005065584008084E-9     5.198547059349518E-10    2.480824409660564E-10    8.221382533933877E-11
0.0015333333333333351     1.0011904788774533E-9    5.193191679387041E-10    2.480140079933811E-10    8.220963838766823E-11
0.0015666666666666682     9.972556487984227E-10    5.187728240146652E-10    2.4794410607443447E-10   8.220535989154745E-11
0.0016000000000000016     9.932610616059851E-10    5.182156730926086E-10    2.478727351757178E-10    8.220098985060069E-11
0.001633333333333335      9.892054032289524E-10    5.176474710246334E-10    2.4779987546997887E-10   8.21965277154562E-11
0.0016666666666666683     9.850941245324306E-10    5.170686256541355E-10    2.477255523035971E-10    8.219197409559444E-11
0.0017000000000000014     9.809271917775416E-10    5.164791358501349E-10    2.476497656410987E-10    8.218732899061665E-11
0.001733333333333335      9.767035440558034E-10    5.158787626052211E-10    2.475724956034951E-10    8.218259184541878E-11
0.0017666666666666681     9.724284489088312E-10    5.152679147248234E-10    2.4749376774274357E-10   8.217776327432264E-11
0.0018000000000000015     9.681018707707316E-10    5.146465910049007E-10    2.4741358202098236E-10   8.217284327690329E-11
0.0018333333333333348     9.637230441712274E-10    5.140145625362285E-10    2.4733191885489695E-10   8.216783130148603E-11
0.001866666666666668      9.592969930914041E-10    5.133722336391797E-10    2.4724880362797723E-10   8.216272795738442E-11
0.0019000000000000013     9.548236802050894E-10    5.127196030420355E-10    2.471642363002177E-10    8.215753324414962E-11
0.0019333333333333346     9.503026984208187E-10    5.120564571479268E-10    2.470781978854856E-10    8.215224662035099E-11
0.001966666666666668      9.457387965018835E-10    5.113831969725193E-10    2.4699071377737574E-10   8.214686869603044E-11
0.0020000000000000013     9.411319356524615E-10    5.106998211820732E-10    2.469017839338459E-10    8.214139947071571E-11
0.0020333333333333345     9.364819508846488E-10    5.100061239078101E-10    2.4681138950460203E-10   8.213583840222986E-11
0.0020666666666666676     9.31793367392751E-10     5.0930250481068E-10      2.4671955595883027E-10   8.213018610200143E-11
0.002100000000000001      9.270661447875293E-10    5.085889624866021E-10    2.46626283252164E-10     8.212444256953244E-11
0.0021333333333333347     9.223003578852639E-10    5.078653013618629E-10    2.4653155290211345E-10   8.211860726870979E-11
0.002166666666666668      9.175002945137593E-10    5.071319173171165E-10    2.464353902476143E-10    8.211268080629676E-11
0.002200000000000001      9.126659127991331E-10    5.063888088848431E-10    2.4633779524227407E-10   8.210666318177237E-11
0.0022333333333333346     9.077975372577211E-10    5.05635791191949E-10     2.4623874974630426E-10   8.210055386355776E-11
0.0022666666666666677     9.028992009125712E-10    5.048732587212068E-10    2.4613827922564405E-10   8.209435346140896E-11
0.0023000000000000013     8.979708606926239E-10    5.04101209948062E-10     2.460363836320153E-10    8.208806197478285E-11
0.0023333333333333344     8.930130143277157E-10    5.033194634675475E-10    2.459330446546131E-10    8.208167886332329E-11
0.002366666666666668      8.880294681365394E-10    5.02528415677694E-10     2.4582828815100623E-10   8.207520474702283E-11
0.002400000000000001      8.830201778053642E-10    5.017280649871286E-10    2.457221140706307E-10    8.20686396253127E-11
0.0024333333333333347     8.779858563495979E-10    5.00918239694402E-10     2.456145043737552E-10    8.206198296032974E-11
0.002466666666666668      8.729300336261046E-10    5.000993326936328E-10    2.455054849517229E-10    8.205523537337487E-11
0.002500000000000001      8.678526641367586E-10    4.992713423296305E-10    2.4539505575184286E-10   8.204839686385538E-11
0.002533333333333334      8.627546893208571E-10    4.984341063176185E-10    2.4528319889892607E-10   8.204146689252616E-11
0.002566666666666667      8.576393361404764E-10    4.975880151312913E-10    2.451699404870717E-10    8.203444608717706E-11
0.0026000000000000007     8.525065581384998E-10    4.967330670564439E-10    2.4505528046157525E-10   8.202733444719204E-11
0.0026333333333333343     8.473574497107796E-10    4.958691056922268E-10    2.449392009487264E-10    8.202013142894343E-11
0.0026666666666666674     8.421949952664071E-10    4.94996520630884E-10     2.448217282511037E-10    8.201283766532734E-11
0.002700000000000001      8.370191473936761E-10    4.94115310092769E-10     2.4470286231173227E-10   8.200545315570244E-11
0.002733333333333334      8.318311511902488E-10    4.932253289241786E-10    2.445825857279894E-10    8.199797736497734E-11
0.0027666666666666673     8.26633715623286E-10     4.923269581989936E-10    2.444609244385991E-10    8.199041091646764E-11
0.0028000000000000004     8.214267923646004E-10    4.914201960734476E-10    2.443378783844204E-10    8.198275380950772E-11
