% Model:              pcal_mirror_deformation_3d_2beams.mph
% Version:            COMSOL 5.6.0.401
% Date:               Nov 26 2025, 09:58
% Dimension:          3
% Nodes:              619
% Expressions:        3
% Description:        Displacement field, Z component, x-coordinate, y-coordinate
% Length unit:        m
% X                       Y                        Z                        w (m)                    x (m)                    y (m)
-0.06495177554317576      -0.037499966716002406    0.08                     -4.49521576897046E-12    -0.06495177554317576     -0.037499966716002406
-0.06067625057185087      -0.04408391809753979     0.07999999999999997      -4.671794613968636E-12   -0.060676250571850866    -0.04408391809753979
-0.057518291628994925     -0.03673312846921797     0.08                     -8.249836413917312E-12   -0.05751829162899492     -0.03673312846921797
-0.060874510047952975     -0.030919547616198112    0.08                     -8.060211560353802E-12   -0.060874510047952975    -0.030919547616198112
-0.06851583108803186      -0.030505261385574422    0.07999999999999999      -4.341104246084408E-12   -0.06851583108803186     -0.030505261385574422
-0.05309576546569848      -0.042834552612047994    0.08                     -8.481223618982897E-12   -0.05309576546569849     -0.042834552612047994
-0.05573575828807775      -0.050184747272377414    0.08                     -4.853901832365462E-12   -0.05573575828807775     -0.05018474727237741
-0.05018470437959347      -0.0557357969065981      0.08000000000000002      -5.047198110670738E-12   -0.05018470437959347     -0.0557357969065981
-0.048741629395203066     -0.047836819469732894    0.08                     -8.638947539186431E-12   -0.048741629395203066    -0.047836819469732894
-0.0713292096594843       -0.023176311611205702    0.07999999999999997      -4.213817717333965E-12   -0.0713292096594843      -0.023176311611205702
-0.06356703886403839      -0.023983553578795606    0.08                     -8.077786056095972E-12   -0.06356703886403837     -0.02398355357879561
-0.06589788879726344      -0.017776412423541714    0.08                     -7.796912844667483E-12   -0.06589788879726344     -0.017776412423541717
-0.07335999609166174      -0.015593239986274841    0.07999999999999997      -4.124631465530835E-12   -0.07335999609166174     -0.015593239986274841
-0.04325604492091087      -0.05291744132418884     0.07999999999999999      -8.839797033527113E-12   -0.04325604492091087     -0.052917441324188845
-0.04408387140455927      -0.06067628449743351     0.08000000000000002      -5.23789236548719E-12    -0.04408387140455927     -0.06067628449743351
-0.03749991673258768      -0.0649518044021882      0.07999999999999999      -5.417042996679485E-12   -0.03749991673258768     -0.0649518044021882
-0.037449612660842166     -0.05663369613637447     0.08                     -9.295780065206166E-12   -0.03744961266084217     -0.05663369613637447
-3.5355325455433285E-4    -0.010353553526632163    0.08                     -2.5979744019557875E-9   -3.5355325455433285E-4   -0.010353553526632163
-5.0E-4                   -0.01                    0.08                     -2.5994284325998256E-9   -5.0E-4                  -0.01
-9.572061012476096E-4     -0.010493060902059155    0.08                     -1.2171528263122705E-9   -9.572061012476096E-4    -0.010493060902059155
-3.535535266321616E-4     -0.009646446745445666    0.08                     -2.6120903740029106E-9   -3.535535266321616E-4    -0.009646446745445666
-9.369312489215763E-4     -0.009409586322285675    0.08000000000000002      -1.178306412946405E-9    -9.369312489215763E-4    -0.009409586322285675
-0.07458787050279471      -0.007839467289912918    0.07999999999999997      -4.066747025518929E-12   -0.07458787050279471     -0.007839467289912918
-0.06715241274509254      -0.010550897418381618    0.08                     -7.854468873342893E-12   -0.06715241274509254     -0.010550897418381618
-0.06813409423787167      -0.0035053560233670455   0.08                     -7.681700940457615E-12   -0.06813409423787166     -0.0035053560233670455
-0.075                    0                        0.08                     -4.048384232264961E-12   -0.075                   0
-0.03145817667317977      -0.060759195045930574    0.08                     -9.206616936628372E-12   -0.03145817667317977     -0.060759195045930574
-0.030505208658311148     -0.0685158545617348      0.08                     -5.578766787850168E-12   -0.030505208658311148    -0.0685158545617348
